product_id	product_code	product	category	qty	invoices	sales_inc_vat
758	11299821	เครื่องพ่นสกิมโค้ท รุ่น RB-1060 	SKIM COAT MACHINE	2.0000	2	160308.41
801	41498301	เครื่องพ่นปูนฉาบ รุ่น RB-MT-9004 70ลิตร	Screw Pump	1.0000	1	121495.33
5	83170496	เครื่องพ่นสีแรงดันสูง-Airless sprayer รุ่น RB899	Airless Sprayer	3.0000	3	110224.29
8	98458393	เครื่องพ่นสีแรงดันสูง-Airless Sprayer ระบบinverter รุ่น RB5300	Airless Sprayer	4.0000	4	92990.67
1183	91485945	เครื่องพ่นสีแรงดันสูง-Airless Sprayer ระบบinverter รุ่น RB360S	Airless Sprayer	6.0000	6	84249.52
1167	92698477	เครื่องพ่นปูนสกิมโค้ท ระบบไฮดรอลิค รุ่น RB-1090	SKIM COAT MACHINE	1.0000	1	84000.00
529	35642847	เครื่องพ่นสีจราจรAirless Traffic Paint Sprayer รุ่นRB-GM91	Airless Sprayer	1.0000	1	79000.00
587	23971522	เครื่องพ่นสกิมโค้ท ระบบสกูร รุ่น RB PC-HP-30	Screw Pump	1.0000	1	79000.00
12	79618933	เครื่องกรีดผนังเซาะร่อง-Wall cutter ระบบน้ำ รุ่น WALLCD-1009	Paint and decorating	7.0000	6	69304.20
388	88132174	Marble polishing machine-เครื่องขัดพื้นคอนกรีต สีส้ม RB-FP01	Airless Sprayer	2.0000	2	64704.21
1039	90350847	เครื่องดัดเหล็ก-punching machine ( 32 mm.) รุ่น RB-32	WALL CHASERS	1.0000	1	58900.00
1035	52633085	เครื่องเลื่อยวงแหวนตัดคอนกรีต รุ่น RB-W410	Wall Polishing Machine	3.0000	3	57266.92
1158	54633273	เครื่องเลื่อยวงแหวน Brushless Ring Saw  RB-7425D	WALL CHASERS	3.0000	3	56700.00
105	39378639	RB-SC1030 Screw pump sprayer	Screw Pump	1.0000	1	55140.19
56	69847130	Packer รุ่น B - 8	Airless Sprayer	3000.0000	1	48000.00
16	89562283	เครื่องกรีดผนังเซาะร่อง-Wall cutter อิฐมวลเบา รุ่น WALLCD-100A Top Model	Paint and decorating	2.0000	2	34430.37
982	02614762	เครื่องปั่นหน้าปูนฉาบ พรีเมี่ยม(สีเขียว)	Screw Pump	16.0000	1	31401.92
1115	28092791	เครื่องขัดคอนกรีต แบบ 4 หัว รุ่น RB-PF04	Drywall sander, wall sander	3.0000	3	28050.00
13	78055317	เครื่องกรีดผนังเซาะร่อง-Wall Cutter ระบบน้ำ รุ่น WALLCD-1009B	Paint and decorating	4.0000	3	19088.79
18	31351241	เครื่องขัดผนังสกิมโค้ท ด้ามสั้นเก็บฝุ่น รุ่น  RB-DWS180S 	Drywall sander, wall sander	7.0000	4	18900.00
1083	81952035	เครื่องเลื่อยวงแหวนตัดคอนกรีต รุ่น RB-BL400	WALL CHASERS	1.0000	1	17900.00
21	21543011	เครื่องยิงโฟม อีพ็อกซี่-Grouting injection pump รีโมท รุ่น RB-WE01	Missing category 3	1.0000	1	16500.00
2	03665944	เครื่องปั่นหน้าปูนฉาบ สายไฟ 5 เมตร รุ่น RB-PSM370-5M	Missing category 1	9.0000	2	15700.90
1174	09729006	เครื่องพ่นสีแรงดันสูงแบบพกพา-Handheld airless sprayer รุ่น RB-G910	Airless Sprayer	3.0000	3	14152.34
17	66577922	เครื่องขัดผนังสกิมโค้ท ด้ามยาว เก็บฝุ่นในตัว รุ่น RB-DWS225B	Drywall sander, wall sander	2.0000	1	13800.00
983	92277253	เครื่องพ่นสีแรงดันสูง แบบตั้งพื้น รุ่น RB-DQ600	Airless Sprayer	2.0000	2	12574.77
322	78118904	RB-G230 Spray gun airless ปืนพ่นสี	Airless Sprayer	7.0000	6	11700.00
342	67600335	เครื่องขัดผนังมือจับสั้นหน้า9นิ้ว รุ่นRB-DWS700F	Airless Sprayer	3.0000	3	11339.73
1125	46802905	เครื่องพ่นสีแรงดันสูง-Airless sprayer รุ่น RB-390F	Airless Sprayer	1.0000	1	11121.50
436	24081251	ขาต่อ-dry stilts 	Paint and decorating	2.0000	1	11000.00
19	62389576	ถังแรงดัน-Pressure Tanks Manual Agitator ธรรมดา 20L รุ่น RB-TK20-1	Airless Sprayer	1.0000	1	10900.00
88	56540900	RB-PS Pressure hose 15m.(3/8)	Airless Sprayer	3.0000	2	10800.00
68	90434505	กระดาษทรายขัดผนังหน้า 9 นิ้ว เบอร์120	Drywall sander, wall sander	1075.0000	4	10668.16
182	92422684	No.42 Diaphragm -RB899	Airless Sprayer	4.0000	2	10000.00
446	66765095	ค่ามัดจำ	Airless Sprayer	1.0000	1	9345.79
111	14549706	ใบตัดคอนกรีด ขนาด133mm.(ใบบิด)	Paint and decorating	40.0000	5	9000.00
222	59022004	Startor-Rotor For 70lite- ชุดลูกยาง Width 12.3cm high 30cm  เครื่องพ่นปูน RB-MT9004	Screw Pump	2.0000	1	8598.13
1185	73227450	เครื่องขัดพื้นปูนคอนกรีต แบบ3 หัว รุ่น RB-DWS225C	Drywall sander, wall sander	1.0000	1	8411.22
1009	56339566	เครื่องขัดพื้นปูนเข้ามุม RB-DWS225A	Drywall sander, wall sander	1.0000	1	8317.76
1064	78754909	ใบตัด เครื่องเลื่อยวงแหวนไฟฟ้า รุ่น RB W-410	Power Tools	2.0000	2	7800.00
872	53468485	เครื่องพ่นสีสะพายหลังแบตเตอรี่ลิเธียมคุณภาพสูง ระบบสุญญากาศ RB-534	Airless Sprayer	1.0000	1	7500.00
807	67876762	เครื่องสั่นกระเบื้อง(สีดำ)	Power Tools	3.0000	3	7172.90
1053	93078489	ไม้ปาดสกิมโค้ท สีแดง ความกว้าง 115 cm.	Screw Pump	4.0000	2	6760.00
58	34545087	Packer รุ่น A -10	Paint and decorating	550.0000	5	6600.00
59	48383208	Packer รุ่น A -8	Paint and decorating	500.0000	1	6000.00
14	88194975	เครื่องกรีดผนังเซาะร่อง-Wall cutter ระบบน้ำ รุ่น WALLCD-J17 	Missing category 1	3.0000	1	5887.86
29	63638962	รอกยกแอร์-Air conditioner Hoist  20 m	Missing category 1	2.0000	2	4859.81
1086	92622793	ใบตัด เครื่องเลื่อยวงแหวนตัดคอนกรีต รุ่น RB-BL400	WALL CHASERS	1.0000	1	4500.00
89	33172105	RB-PS Pressure hose 10m.	Airless Sprayer	3.0000	2	3961.68
1157	01025726	ใบตัด เครื่องเลื่อยวงแหวนตัดคอนกรีต Brushless Ring Saw รุ่น RB-7425D 	WALL CHASERS	1.0000	1	3900.00
762	92313469	Tip Guard (สีดำ)	Airless Sprayer	13.0000	11	3878.03
86	94030123	RB-PS Pressure hose 1/4  15m.	Airless Sprayer	3.0000	2	3869.16
1132	20818917	เครื่องขัดปูน DQ-8105ZX 1200W 	Drywall sander, wall sander	1.0000	1	3785.05
1122	53437664	RB-PS Pressure hose 3/8 15 m. (สีเหลือง)	Airless Sprayer	2.0000	2	3500.00
1	15120904	เครื่องปั่นหน้าปูนฉาบ จับสองมือ รุ่น RB-WPS90	Missing category 1	1.0000	1	3500.00
1013	34598941	ไม้ปาดสกิมโค้ท - SCRAPER RB-SC80 ขนาด 80 cm.	Wall Polishing Machine	2.0000	2	3051.87
468	41779949	No.85 Pressure Valve RB899 วาล์วปรับแรงดัน	Airless Sprayer	2.0000	2	3000.00
249	64040511	 No.4 Spring Outlet valve -RB899	Airless Sprayer	12.0000	2	2929.91
220	93981649	ไม้ปาดสกิมโค้ท สีแดง  Scraper 40 cm.	Paint and decorating	4.0000	2	2850.00
214	93931832	เกรียงขัดกระดาษทรายเข้ามุม ขนาด 50cm.	Paint and decorating	6.0000	1	2803.74
224	30585176	ชุดสปริง- epoxy  grouting   spare parts รุ่น RB-WE01,WE02	Missing category 3	6.0000	2	2700.00
357	75096837	texture  spray gun 4mm	Spare parts / Accessories Airless sprayer	1.0000	1	2500.00
323	71134805	Putty power special scraperไม้ปาดด้ามยาว	Airless Sprayer	2.0000	1	2400.00
46	05761935	เครื่องยิงกันซึมมือถือ-Crack Grouting รุ่น RB-WE900	Power Tools	1.0000	1	2289.72
