product_id	product_code	product	category	april_qty	april_sales_inc_vat	may_qty	may_sales_inc_vat	qty_change	sales_change_inc_vat
1160	35169305	เครื่องพ่นปูนฉาบ ขนาดเล็ก รุ่น RB-MT-F13	Screw Pump	0.0000	0.00	4.0000	256247.67	4.0000	256247.67
5	83170496	เครื่องพ่นสีแรงดันสูง-Airless sprayer รุ่น RB899	Airless Sprayer	3.0000	110224.29	7.0000	247383.19	4.0000	137158.90
7	14566695	เครื่องพ่นปูนฉาบ-Motar Sprayer ไฟ 220v รุ่น RB-MT9001	Screw Pump	0.0000	0.00	3.0000	197971.96	3.0000	197971.96
529	35642847	เครื่องพ่นสีจราจรAirless Traffic Paint Sprayer รุ่นRB-GM91	Airless Sprayer	1.0000	79000.00	2.0000	158000.00	1.0000	79000.00
1183	91485945	เครื่องพ่นสีแรงดันสูง-Airless Sprayer ระบบinverter รุ่น RB360S	Airless Sprayer	6.0000	84249.52	7.0000	99339.23	1.0000	15089.71
12	79618933	เครื่องกรีดผนังเซาะร่อง-Wall cutter ระบบน้ำ รุ่น WALLCD-1009	Paint and decorating	7.0000	69304.20	6.0000	91441.59	-1.0000	22137.39
8	98458393	เครื่องพ่นสีแรงดันสูง-Airless Sprayer ระบบinverter รุ่น RB5300	Airless Sprayer	4.0000	92990.67	3.0000	73714.49	-1.0000	-19276.18
1136	00869462	เครื่องพ่นสีแรงดันสูง-AIRLESS SPRAYER RB-795	Airless Sprayer	0.0000	0.00	3.0000	65329.91	3.0000	65329.91
10	24202698	เครื่องพ่นสีแรงดันสูง-Airless sprayer แรงดูดสี 8.2L/min รุ่น RB999s	Airless Sprayer	0.0000	0.00	1.0000	60000.00	1.0000	60000.00
1134	41061983	เครื่องพ่นสีแรงดันสูง-AIRLESS SPRAYER RB-395	Airless Sprayer	0.0000	0.00	3.0000	41700.00	3.0000	41700.00
1158	54633273	เครื่องเลื่อยวงแหวน Brushless Ring Saw  RB-7425D	WALL CHASERS	3.0000	56700.00	2.0000	37800.00	-1.0000	-18900.00
56	69847130	Packer รุ่น B - 8	Airless Sprayer	3000.0000	48000.00	2250.0000	36000.00	-750.0000	-12000.00
21	21543011	เครื่องยิงโฟม อีพ็อกซี่-Grouting injection pump รีโมท รุ่น RB-WE01	Missing category 3	1.0000	16500.00	2.0000	33322.43	1.0000	16822.43
20	11508823	เครื่องยิงโฟม อีพ็อกซี่-Grouting injection pump รุ่น RB-WE02	Other spraying equipments	0.0000	0.00	2.0000	19800.00	2.0000	19800.00
446	66765095	ค่ามัดจำ	Airless Sprayer	1.0000	9345.79	2.0000	19345.79	1.0000	10000.00
1132	20818917	เครื่องขัดปูน DQ-8105ZX 1200W 	Drywall sander, wall sander	1.0000	3785.05	5.0000	19014.96	4.0000	15229.91
1035	52633085	เครื่องเลื่อยวงแหวนตัดคอนกรีต รุ่น RB-W410	Wall Polishing Machine	3.0000	57266.92	1.0000	18500.00	-2.0000	-38766.92
