product_id	product_code	product	category	qty	invoices	sales_inc_vat
1160	35169305	เครื่องพ่นปูนฉาบ ขนาดเล็ก รุ่น RB-MT-F13	Screw Pump	4.0000	4	256247.67
5	83170496	เครื่องพ่นสีแรงดันสูง-Airless sprayer รุ่น RB899	Airless Sprayer	7.0000	7	247383.19
7	14566695	เครื่องพ่นปูนฉาบ-Motar Sprayer ไฟ 220v รุ่น RB-MT9001	Screw Pump	3.0000	3	197971.96
529	35642847	เครื่องพ่นสีจราจรAirless Traffic Paint Sprayer รุ่นRB-GM91	Airless Sprayer	2.0000	2	158000.00
1183	91485945	เครื่องพ่นสีแรงดันสูง-Airless Sprayer ระบบinverter รุ่น RB360S	Airless Sprayer	7.0000	7	99339.23
12	79618933	เครื่องกรีดผนังเซาะร่อง-Wall cutter ระบบน้ำ รุ่น WALLCD-1009	Paint and decorating	6.0000	6	91441.59
8	98458393	เครื่องพ่นสีแรงดันสูง-Airless Sprayer ระบบinverter รุ่น RB5300	Airless Sprayer	3.0000	3	73714.49
1136	00869462	เครื่องพ่นสีแรงดันสูง-AIRLESS SPRAYER RB-795	Airless Sprayer	3.0000	3	65329.91
10	24202698	เครื่องพ่นสีแรงดันสูง-Airless sprayer แรงดูดสี 8.2L/min รุ่น RB999s	Airless Sprayer	1.0000	1	60000.00
1134	41061983	เครื่องพ่นสีแรงดันสูง-AIRLESS SPRAYER RB-395	Airless Sprayer	3.0000	3	41700.00
1158	54633273	เครื่องเลื่อยวงแหวน Brushless Ring Saw  RB-7425D	WALL CHASERS	2.0000	2	37800.00
56	69847130	Packer รุ่น B - 8	Airless Sprayer	2250.0000	6	36000.00
21	21543011	เครื่องยิงโฟม อีพ็อกซี่-Grouting injection pump รีโมท รุ่น RB-WE01	Missing category 3	2.0000	2	33322.43
20	11508823	เครื่องยิงโฟม อีพ็อกซี่-Grouting injection pump รุ่น RB-WE02	Other spraying equipments	2.0000	2	19800.00
446	66765095	ค่ามัดจำ	Airless Sprayer	2.0000	2	19345.79
1132	20818917	เครื่องขัดปูน DQ-8105ZX 1200W 	Drywall sander, wall sander	5.0000	4	19014.96
