category_id,category_name,products_sold,line_count,invoice_count,customer_count,qty_sold,sales_ex_vat,vat_allocated_from_invoice,sales_inc_vat_allocated,first_sale_date,last_sale_date
2,"Airless Sprayer",68,359,72,44,2779.0000,1018749.42,66765.96,1085515.38,2026-05-02,2026-05-30
4,"Screw Pump",7,25,11,7,26.0000,656750.01,45972.50,702722.51,2026-05-05,2026-05-28
5,"Paint and decorating",11,37,23,18,1177.0000,124811.50,8632.51,133444.01,2026-05-05,2026-05-30
38,"WALL CHASERS",11,20,14,11,25.0000,94957.57,6647.03,101604.60,2026-05-06,2026-05-30
30,"Drywall sander, wall sander",17,47,26,19,1026.0000,94078.26,6438.48,100516.74,2026-05-04,2026-05-26
3,"Missing category 3",1,2,2,2,2.0000,33322.43,2332.57,35655.00,2026-05-06,2026-05-12
22,"Other spraying equipments",4,12,8,4,16.0000,30500.00,2135.00,32635.00,2026-05-06,2026-05-30
1,"Missing category 1",15,22,17,15,341.0000,25430.00,1780.10,27210.10,2026-05-04,2026-05-30
46,"Wall Polishing Machine",3,3,3,3,3.0000,23000.00,1610.00,24610.00,2026-05-04,2026-05-23
48,"Power Tools",3,4,3,3,6.0000,5372.80,376.10,5748.90,2026-05-09,2026-05-26
7,"Spare parts / Accessories Airless sprayer",1,1,1,1,1.0000,600.00,42.00,642.00,2026-05-23,2026-05-23
