category_id,category_name,subcategory_id,subcategory_name,product_id,product_code,product_name,product_second_name,product_type,line_count,invoice_count,customer_count,net_qty,net_sales_ex_vat,net_vat_allocated_from_invoice,net_sales_inc_vat_allocated,completed_qty,completed_sales_ex_vat,completed_sales_inc_vat_allocated,returned_qty,returned_sales_ex_vat,returned_sales_inc_vat_allocated,first_sale_date,last_sale_date
2,"Airless Sprayer",,,5,83170496,"เครื่องพ่นสีแรงดันสูง-Airless sprayer รุ่น RB899",,standard,10,10,8,8.0000,295728.98,17971.03,313700.01,9.0000,325383.19,345430.01,-1.0000,-29654.21,-31730.00,2026-05-05,2026-05-30
4,"Screw Pump",,,1160,35169305,"เครื่องพ่นปูนฉาบ ขนาดเล็ก รุ่น RB-MT-F13","Portable Mortar Cement Spraying Machine Plaster Spray Equipment DQ-F13",standard,4,4,3,4.0000,256247.67,17937.34,274185.01,4.0000,256247.67,274185.01,0.0000,0.00,0.00,2026-05-07,2026-05-13
4,"Screw Pump",,,7,14566695,"เครื่องพ่นปูนฉาบ-Motar Sprayer ไฟ 220v รุ่น RB-MT9001"," mortar  sprayer 220v MT9001 (RB-M30L)",standard,4,4,2,4.0000,253112.15,17717.85,270830.00,4.0000,253112.15,270830.00,0.0000,0.00,0.00,2026-05-15,2026-05-28
2,"Airless Sprayer",,,529,35642847,"เครื่องพ่นสีจราจรAirless Traffic Paint Sprayer รุ่นRB-GM91","Airless Traffic Paint Sprayer GM91",standard,2,2,2,2.0000,158000.00,11060.00,169060.00,2.0000,158000.00,169060.00,0.0000,0.00,0.00,2026-05-07,2026-05-22
4,"Screw Pump",,,47,19636436,"เครื่องพ่นปูนฉาบ ระบบน้ำมัน 12 HP diesel mortar sprayer",,standard,1,1,1,1.0000,130000.00,9100.00,139100.00,1.0000,130000.00,139100.00,0.0000,0.00,0.00,2026-05-06,2026-05-06
2,"Airless Sprayer",,,1183,91485945,"เครื่องพ่นสีแรงดันสูง-Airless Sprayer ระบบinverter รุ่น RB360S","Airless Sprayer -DF360",standard,8,8,2,8.0000,113264.46,6885.51,120149.97,8.0000,113264.46,120149.97,0.0000,0.00,0.00,2026-05-04,2026-05-30
5,"Paint and decorating",,,12,79618933,"เครื่องกรีดผนังเซาะร่อง-Wall cutter ระบบน้ำ รุ่น WALLCD-1009","1009 Wall Chaser",standard,6,6,6,6.0000,91441.59,6400.91,97842.50,6.0000,91441.59,97842.50,0.0000,0.00,0.00,2026-05-06,2026-05-21
2,"Airless Sprayer",,,8,98458393,"เครื่องพ่นสีแรงดันสูง-Airless Sprayer ระบบinverter รุ่น RB5300","DF5300 Airless Sprayer ",standard,3,3,3,3.0000,73714.49,5160.01,78874.50,3.0000,73714.49,78874.50,0.0000,0.00,0.00,2026-05-15,2026-05-28
2,"Airless Sprayer",,,1136,00869462,"เครื่องพ่นสีแรงดันสูง-AIRLESS SPRAYER RB-795",,standard,3,3,2,3.0000,65329.91,4573.09,69903.00,3.0000,65329.91,69903.00,0.0000,0.00,0.00,2026-05-04,2026-05-21
2,"Airless Sprayer",,,10,24202698,"เครื่องพ่นสีแรงดันสูง-Airless sprayer แรงดูดสี 8.2L/min รุ่น RB999s",,standard,1,1,1,1.0000,60000.00,4200.00,64200.00,1.0000,60000.00,64200.00,0.0000,0.00,0.00,2026-05-26,2026-05-26
